task,dim,budget,seed,variant,final_best,auc_best,regret,runtime_s,n_leaves,global_coherence,potential_std,coherence_std,potential_scale
Sphere,2,200,17,none,3.336481527429547e-05,0.5666013234629366,3.336481527429547e-05,0.09512414300115779,25.0,,,,
Sphere,2,200,17,coherence,0.013414828502898258,0.5679956477094071,0.013414828502898258,0.1374495919990295,23.0,0.8144679466590332,0.22846410686295493,0.14997360523295536,1.0
Sphere,2,200,17,potential,0.04054179989501998,0.6401515172901392,0.04054179989501998,0.14038113600145152,22.0,0.7780566704411993,0.257044982536818,0.16451648775936628,0.9259287125691937
Sphere,2,200,17,both,0.0012122544809171824,0.5292251247962643,0.0012122544809171824,0.14255406799929915,22.0,0.792230347533343,0.2313209893276047,0.14315923595141936,0.9731270572860321
Sphere,2,200,18,none,0.015381920540246938,0.4958509900212338,0.015381920540246938,0.09782276400073897,20.0,,,,
Sphere,2,200,18,coherence,0.00032004505851225464,0.5231451174546325,0.00032004505851225464,0.1394601350002631,22.0,0.8156941364817778,0.2279450667293859,0.15848166782459105,1.0
Sphere,2,200,18,potential,0.0019883751571016088,0.6734475419350574,0.0019883751571016088,0.16483225299998594,24.0,0.7041221954008532,0.21826684499352858,0.18408696197374474,0.6797269106848411
Sphere,2,200,18,both,0.0008251115457967094,0.5865699888472102,0.0008251115457967094,0.12935807400026533,20.0,0.7868688524260896,0.2654146683538415,0.13750454730797967,0.9552732785788784
Sphere,2,200,19,none,0.0018896474762884136,0.25892773623288323,0.0018896474762884136,0.09263773299971945,26.0,,,,
Sphere,2,200,19,coherence,7.30361957344274e-05,0.2569635106477541,7.30361957344274e-05,0.14987416199983272,28.0,0.5763192419090448,0.20609009879253473,0.1418079984015676,0.25414307555711924
Sphere,2,200,19,potential,0.0014475869876515095,0.25877743566674666,0.0014475869876515095,0.1478519669999514,26.0,0.6923683602701596,0.201045805535012,0.14113392157518834,0.6405866396996314
Sphere,2,200,19,both,6.688508053682278e-05,0.2569630800696902,6.688508053682278e-05,0.13970254299965745,24.0,0.6450912153177912,0.21722549786078935,0.13542794118613194,0.4831537470082448
Rastrigin,2,200,0,none,0.6011815779596787,5.903677943765713,0.6011815779596787,0.09447108899985324,22.0,,,,
Rastrigin,2,200,0,coherence,0.07225734463375488,4.9930908289254035,0.07225734463375488,0.12677446699854045,21.0,0.6291283709295221,0.2502991558378232,0.11156221964630643,0.4299974751953087
Rastrigin,2,200,0,potential,0.6011815779596787,5.903677943765713,0.6011815779596787,0.1291922849995899,22.0,0.5344693872336026,0.22996293013862537,0.14848255769145763,0.11478305948789666
Rastrigin,2,200,0,both,0.07225734463375488,4.9930908289254035,0.07225734463375488,0.1262231860000611,21.0,0.6291283709295221,0.2502991558378232,0.11156221964630643,0.4299974751953087
Rastrigin,2,200,1,none,1.0843962643829386,5.387801012264878,1.0843962643829386,0.09258282100017823,21.0,,,,
Rastrigin,2,200,1,coherence,4.029820769276718,6.069066790031614,4.029820769276718,0.13431796599979862,22.0,0.634931295013256,0.2471127916117951,0.11833837001614612,0.44932121239414236
