FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.6258 | NoiseVar=2.01e-03
FIT_QUALITY | Depth=2 | N_pts=18 | R2=0.2718 | NoiseVar=2.08e-03
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.2837 | NoiseVar=2.11e-03
FIT_QUALITY | Depth=2 | N_pts=15 | R2=0.5997 | NoiseVar=8.52e-04
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.2837 | NoiseVar=2.11e-03
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.3481 | NoiseVar=1.66e-04
FIT_QUALITY | Depth=2 | N_pts=19 | R2=0.6258 | NoiseVar=2.01e-03
FIT_QUALITY | Depth=2 | N_pts=16 | R2=0.5915 | NoiseVar=8.23e-04
FIT_QUALITY | Depth=2 | N_pts=20 | R2=0.2764 | NoiseVar=2.04e-03
FIT_QUALITY | Depth=2 | N_pts=20 | R2=0.6050 | NoiseVar=2.04e-03
FIT_QUALITY | Depth=2 | N_pts=21 | R2=0.5828 | NoiseVar=2.10e-03
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.5911 | NoiseVar=1.32e-05
FIT_QUALITY | Depth=2 | N_pts=21 | R2=0.2643 | NoiseVar=2.01e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2735 | NoiseVar=2.13e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.6628 | NoiseVar=3.92e-06
FIT_QUALITY | Depth=2 | N_pts=16 | R2=0.5915 | NoiseVar=8.23e-04
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.3481 | NoiseVar=1.66e-04
FIT_QUALITY | Depth=3 | N_pts=17 | R2=0.5911 | NoiseVar=1.32e-05
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.2735 | NoiseVar=2.13e-03
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.6628 | NoiseVar=3.92e-06
FIT_QUALITY | Depth=3 | N_pts=15 | R2=0.5174 | NoiseVar=5.02e-06
FIT_QUALITY | Depth=2 | N_pts=18 | R2=0.3304 | NoiseVar=1.67e-04
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.5098 | NoiseVar=9.31e-04
FIT_QUALITY | Depth=2 | N_pts=17 | R2=0.5098 | NoiseVar=9.31e-04
