QUADRATIC FIT | N_pts=43 | Dim=5 | Cond=5.37e+01 | CoeffNorm=0.04 | NoiseVar=1.29e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=44 | Dim=5 | Cond=5.32e+01 | CoeffNorm=0.04 | NoiseVar=1.27e-05 | Y_range=3.64e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=4.21e+01 | CoeffNorm=0.14 | NoiseVar=1.48e-04 | Y_range=1.17e-01
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=3.26e+01 | CoeffNorm=0.31 | NoiseVar=9.60e-04 | Y_range=2.82e-01
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=5.86e+01 | CoeffNorm=0.08 | NoiseVar=6.42e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=5.86e+01 | CoeffNorm=0.08 | NoiseVar=6.42e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=5.86e+01 | CoeffNorm=0.08 | NoiseVar=6.42e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=26 | Dim=5 | Cond=5.86e+01 | CoeffNorm=0.08 | NoiseVar=6.42e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=6.15e+01 | CoeffNorm=0.08 | NoiseVar=6.31e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=6.15e+01 | CoeffNorm=0.08 | NoiseVar=6.31e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=6.15e+01 | CoeffNorm=0.08 | NoiseVar=6.31e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=6.15e+01 | CoeffNorm=0.08 | NoiseVar=6.31e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=6.15e+01 | CoeffNorm=0.08 | NoiseVar=6.31e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=6.15e+01 | CoeffNorm=0.08 | NoiseVar=6.31e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=27 | Dim=5 | Cond=6.15e+01 | CoeffNorm=0.08 | NoiseVar=6.31e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=28 | Dim=5 | Cond=6.44e+01 | CoeffNorm=0.08 | NoiseVar=6.18e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.62e+01 | CoeffNorm=0.08 | NoiseVar=5.99e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.62e+01 | CoeffNorm=0.08 | NoiseVar=5.99e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.62e+01 | CoeffNorm=0.08 | NoiseVar=5.99e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.62e+01 | CoeffNorm=0.08 | NoiseVar=5.99e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.62e+01 | CoeffNorm=0.08 | NoiseVar=5.99e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.62e+01 | CoeffNorm=0.08 | NoiseVar=5.99e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.62e+01 | CoeffNorm=0.08 | NoiseVar=5.99e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=29 | Dim=5 | Cond=6.62e+01 | CoeffNorm=0.08 | NoiseVar=5.99e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=6.78e+01 | CoeffNorm=0.08 | NoiseVar=5.79e-05 | Y_range=7.21e-02
QUADRATIC FIT | N_pts=30 | Dim=5 | Cond=6.78e+01 | CoeffNorm=0.08 | NoiseVar=5.79e-05 | Y_range=7.21e-02
